Feature,Importance
avg_events_per_session,0.30056383103292617
total_events,0.2044857894935244
avg_duration_per_session,0.16821310774226597
total_duration_seconds,0.1309726607855581
total_clicks,0.08170262503840417
activity_span_hours,0.029136572004220374
session_count,0.029052631880932534
device_Desktop,0.019382229369914603
device_Mobile,0.01786655856454251
avg_scroll_depth,0.007403653316246941
most_active_hour,0.0038222143508048257
reached_product_view,0.0029721106017858616
device_Tablet,0.0008800205364232587
country_USA,0.0005965402470848404
country_India,0.0005341169541830589
channel_Organic Search,0.0005162949377960983
channel_Paid Ads,0.0004334755334013971
channel_Social Media,0.00040906231399631264
country_UK,0.0003738232385146141
channel_Email,0.0003568216014484159
channel_Direct,0.00022462929155085245
reached_homepage_visit,0.00010123116447452717
